model,final_capital,total_return_pct,cagr,max_drawdown_pct,calmar,sharpe,sortino,expected_shortfall,periods_per_year
interest_only,154828.90425684306,54.82890425684306,6.17726964187244,0.0,,0.1334655747788182,0.6289005754211328,-0.0084313979013089,6.367961934972244
fixed_ratio,503528.75446122006,403.5287544612201,24.812483376285964,-80.54730888677632,0.3080485706997903,0.4322685507833178,3.358525064319397,-0.1,6.367961934972244
Barbell (hybrid),217378.68563727272,117.37868563727272,11.233982574609836,-10.201827424029531,1.1011735552543411,0.3370635631926922,1.9766093986581104,-0.0120000000000001,6.367961934972244
GGAL ADR buy-and-hold,193679.77785817336,93.67977785817337,9.282978835540655,-84.47237485839722,0.109893664657847,0.4817289210904369,0.4912714820870513,-0.084895321857154,252.0
Merval en USD,272018.9342799316,172.0189342799316,14.383210633105904,-76.27979811166932,0.1885585828642295,0.5479397593698414,0.5394461803951163,-0.0709954301451861,252.0
