model,final_capital,total_return_pct,cagr,max_drawdown_pct,calmar,n_cycles,n_principal_touches,pct_cycles_itm
interest_only,154828.90425684306,54.82890425684306,6.17726964187244,0.0,,44,0,15.909090909090908
fixed_ratio,503528.75446122006,403.5287544612201,24.812483376285964,-80.54730888677632,0.3080485706997903,44,44,15.909090909090908
hybrid,217378.68563727272,117.37868563727272,11.233982574609836,-10.201827424029531,1.1011735552543411,44,44,15.909090909090908
