FECHA;ESPECIE;BASE;TIPO;ÚLTIMO;%;MONTO;HORA;APE.;MAX.;MIN.;C. ANT.;NOMINAL;PRECIO GGAL;VAR. % GGAL;TLR;VI %;VE %;DÍAS AL VTO.;PLAZO (años)
19/06/2024;GFGC18808G;1880,8;Call;2580,000;2,54%;1.805.508;16:29:20;2595,104;2595,104;2560,000;2516,000;7;4346,55;0,83%;36,95%;105,94%;2,63%;58;0,1589
19/06/2024;GFGC25608G;2560,8;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1950,000;0;4346,55;0,83%;36,95%;;;58;0,1589
19/06/2024;GFGC26000G;2600;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4346,55;0,83%;36,95%;;;58;0,1589
19/06/2024;GFGC26608G;2660,8;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1896,990;0;4346,55;0,83%;36,95%;;;58;0,1589
19/06/2024;GFGC28608G;2860,8;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1470,000;0;4346,55;0,83%;36,95%;;;58;0,1589
19/06/2024;GFGC29000G;2900;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4346,55;0,83%;36,95%;;;58;0,1589
19/06/2024;GFGC30108G;3010,8;Call;1501,000;-1,57%;2.419.526;16:54:00;1521,575;1521,575;1501,000;1525,000;16;4346,55;0,83%;36,95%;0,00%;3,80%;58;0,1589
19/06/2024;GFGC31608G;3160,8;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1377,900;0;4346,55;0,83%;36,95%;;;58;0,1589
19/06/2024;GFGC33108G;3310,8;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1180,000;0;4346,55;0,83%;36,95%;;;58;0,1589
19/06/2024;GFGC34608G;3460,8;Call;1120,000;6,59%;782.210;16:19:43;1120,033;1120,033;1114,001;1050,750;7;4346,55;0,83%;36,95%;55,01%;5,39%;58;0,1589
19/06/2024;GFGC36108G;3610,8;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1065,081;0;4346,55;0,83%;36,95%;;;58;0,1589
19/06/2024;GFGC37608G;3760,8;Call;825,000;-2,55%;247.500;16:57:29;825,000;825,000;825,000;846,564;3;4346,55;0,83%;36,95%;38,06%;5,50%;58;0,1589
19/06/2024;GFGC39108G;3910,8;Call;710,000;5,85%;7.831.927;16:59:08;700,000;710,000;690,568;670,750;111;4346,55;0,83%;36,95%;40,32%;6,31%;58;0,1589
19/06/2024;GFGC40608G;4060,8;Call;607,000;4,13%;40.237.870;16:59:46;590,000;610,000;585,000;582,946;667;4346,55;0,83%;36,95%;42,27%;7,39%;58;0,1589
19/06/2024;GFGC42608G;4260,8;Call;472,000;3,80%;85.521.065;16:58:29;460,000;480,000;455,001;454,729;1.815;4346,55;0,83%;36,95%;41,74%;8,89%;58;0,1589
19/06/2024;GFGC44608G;4460,8;Call;360,000;2,70%;92.664.487;16:59:50;361,000;370,000;345,500;350,520;2.584;4346,55;0,83%;36,95%;41,88%;8,28%;58;0,1589
19/06/2024;GFGC4800AG;4800;Call;212,000;6,47%;148.567.938;16:59:56;214,673;214,673;198,000;199,115;7.269;4346,55;0,83%;36,95%;41,60%;4,88%;58;0,1589
19/06/2024;GFGC5000AG;5000;Call;146,000;6,15%;65.596.984;16:59:45;145,000;150,000;135,950;137,545;4.508;4346,55;0,83%;36,95%;40,90%;3,36%;58;0,1589
19/06/2024;GFGC51049G;5104,9;Call;121,000;1,78%;10.919.552;16:58:49;120,000;127,770;114,201;118,879;893;4346,55;0,83%;36,95%;41,02%;2,78%;58;0,1589
19/06/2024;GFGC53049G;5304,9;Call;90,000;3,90%;25.077.991;16:59:49;91,000;94,900;80,000;86,625;2.781;4346,55;0,83%;36,95%;42,51%;2,07%;58;0,1589
19/06/2024;GFGC5600AG;5600;Call;47,000;-27,13%;5.100.243;16:59:31;55,000;55,000;47,000;64,500;993;4346,55;0,83%;36,95%;41,62%;1,08%;58;0,1589
19/06/2024;GFGC5800AG;5800;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4346,55;0,83%;36,95%;;;58;0,1589
19/06/2024;GFGC6000AG;6000;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4346,55;0,83%;36,95%;;;58;0,1589
19/06/2024;GFGC6200AG;6200;Call;18,000;0,00%;773.315;16:51:06;21,900;21,950;18,000;0,000;426;4346,55;0,83%;36,95%;44,76%;0,41%;58;0,1589
19/06/2024;GFGV18808G;1880,8;Put;0,390;-22,00%;53.083;16:59:11;0,430;0,430;0,390;0,500;1289;4346,55;0,83%;36,95%;76,40%;0,01%;58;0,1589
19/06/2024;GFGV25608G;2560,8;Put;0,960;-6,52%;1.731;16:26:48;0,970;0,980;0,940;1,027;18;4346,55;0,83%;36,95%;56,08%;0,02%;58;0,1589
19/06/2024;GFGV26000G;2600;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4346,55;0,83%;36,95%;;;58;0,1589
19/06/2024;GFGV26608G;2660,8;Put;1,400;-48,15%;10.726;16:26:46;1,370;1,400;1,370;2,700;77;4346,55;0,83%;36,95%;54,93%;0,03%;58;0,1589
19/06/2024;GFGV28608G;2860,8;Put;1,680;0,00%;2.791;16:26:48;2,550;2,550;1,680;0,000;16;4346,55;0,83%;36,95%;49,30%;0,04%;58;0,1589
19/06/2024;GFGV29000G;2900;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4346,55;0,83%;36,95%;;;58;0,1589
19/06/2024;GFGV30108G;3010,8;Put;1,950;-28,34%;47.621;16:59:30;2,550;2,550;1,260;2,721;227;4346,55;0,83%;36,95%;45,31%;0,04%;58;0,1589
19/06/2024;GFGV31608G;3160,8;Put;3,500;-26,32%;362.034;16:59:19;4,200;4,504;2,726;4,750;909;4346,55;0,83%;36,95%;43,94%;0,08%;58;0,1589
19/06/2024;GFGV33108G;3310,8;Put;5,850;-30,20%;712.645;16:54:00;5,100;6,200;5,100;8,381;1.251;4346,55;0,83%;36,95%;42,35%;0,13%;58;0,1589
19/06/2024;GFGV34608G;3460,8;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4346,55;0,83%;36,95%;;;58;0,1589
19/06/2024;GFGV36108G;3610,8;Put;16,500;-23,61%;1.520.757;16:59:21;21,000;21,000;15,660;21,600;916;4346,55;0,83%;36,95%;39,90%;0,38%;58;0,1589
19/06/2024;GFGV37608G;3760,8;Put;34,000;-12,07%;2.580.357;16:57:52;40,500;40,500;30,000;38,669;788;4346,55;0,83%;36,95%;41,44%;0,78%;58;0,1589
19/06/2024;GFGV39108G;3910,8;Put;57,500;-18,01%;4.129.896;16:59:30;69,000;70,000;56,650;70,127;681;4346,55;0,83%;36,95%;41,95%;1,32%;58;0,1589
19/06/2024;GFGV40608G;4060,8;Put;95,000;-9,15%;18.031.475;16:59:30;97,916;107,000;90,000;104,564;1870;4346,55;0,83%;36,95%;43,35%;2,19%;58;0,1589
19/06/2024;GFGV42608G;4260,8;Put;168,000;-11,98%;21.777.073;16:59:35;180,000;196,000;157,611;190,861;1.305;4346,55;0,83%;36,95%;45,88%;3,87%;58;0,1589
19/06/2024;GFGV44608G;4460,8;Put;261,000;-20,67%;7.969.945;16:59:51;230,000;316,900;230,000;329,000;296;4346,55;0,83%;36,95%;48,05%;3,38%;58;0,1589
19/06/2024;GFGV4800AG;4800;Put;499,000;-12,46%;1.450.900;16:51:49;565,000;565,000;465,000;570,000;30;4346,55;0,83%;36,95%;57,22%;1,05%;58;0,1589
19/06/2024;GFGV5000AG;5000;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4346,55;0,83%;36,95%;;;58;0,1589
19/06/2024;GFGV51049G;5104,9;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4346,55;0,83%;36,95%;;;58;0,1589
19/06/2024;GFGV53049G;5304,9;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4346,55;0,83%;36,95%;;;58;0,1589
19/06/2024;GFGV5600AG;5600;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4346,55;0,83%;36,95%;;;58;0,1589
19/06/2024;GFGV5800AG;5800;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4346,55;0,83%;36,95%;;;58;0,1589
19/06/2024;GFGV6000AG;6000;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4346,55;0,83%;36,95%;;;58;0,1589
19/06/2024;GFGV6200AG;6200;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4346,55;0,83%;36,95%;;;58;0,1589
24/06/2024;GFGC18808G;1880,8;Call;2545,390;-1,34%;763.617;16:25:08;2545,390;2545,390;2545,390;2579,993;3;4318,75;-0,64%;31,00%;134,27%;2,49%;53;0,1452
24/06/2024;GFGC25608G;2560,8;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1950,000;0;4318,75;-0,64%;31,00%;;;53;0,1452
24/06/2024;GFGC26000G;2600;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4318,75;-0,64%;31,00%;;;53;0,1452
24/06/2024;GFGC26608G;2660,8;Call;1768,736;-6,76%;530.621;16:17:34;1768,736;1768,736;1768,736;1896,990;3;4318,75;-0,64%;31,00%;0,00%;2,57%;53;0,1452
24/06/2024;GFGC28608G;2860,8;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1470,000;0;4318,75;-0,64%;31,00%;;;53;0,1452
24/06/2024;GFGC29000G;2900;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;4318,75;-0,64%;31,00%;;;53;0,1452
24/06/2024;GFGC30108G;3010,8;Call;1445,679;-4,00%;4.213.986;16:24:30;1301,000;1445,679;1301,000;1505,965;30;4318,75;-0,64%;31,00%;52,02%;3,19%;53;0,1452
24/06/2024;GFGC31608G;3160,8;Call;1257,900;-8,71%;6.470.307;15:15:04;1200,000;1259,810;1200,000;1377,900;52;4318,75;-0,64%;31,00%;0,00%;2,31%;53;0,1452
24/06/2024;GFGC33108G;3310,8;Call;1180,000;0,00%;4.122.543;16:42:23;1100,000;1180,000;1080,000;1180,000;37;4318,75;-0,64%;31,00%;56,47%;3,98%;53;0,1452
