FECHA;ESPECIE;BASE;TIPO;ÚLTIMO;%;MONTO;HORA;APE.;MAX.;MIN.;C. ANT.;NOMINAL;PRECIO GGAL;VAR. % GGAL;TLR;VI %;VE %;DÍAS AL VTO.;PLAZO (años)
19/04/2024;GFGC1200JU;1200;Call;1921,592;2,21%;34.391.398;14:43:25;1961,000;1961,000;1851,020;1880,000;181;3032,75;1,30%;63,50%;0,00%;2,93%;61;0,1671
19/04/2024;GFGC1640JU;1640;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1037,800;0;3032,75;1,30%;63,50%;;;61;0,1671
19/04/2024;GFGC1710JU;1710;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;730,000;0;3032,75;1,30%;63,50%;;;61;0,1671
19/04/2024;GFGC1860JU;1860;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;3032,75;1,30%;63,50%;;;61;0,1671
19/04/2024;GFGC2020JU;2020;Call;1172,150;0,00%;7.666.728;15:13:53;1157,110;1192,390;1157,110;0,000;65;3032,75;1,30%;63,50%;0,00%;5,26%;61;0,1671
19/04/2024;GFGC2100JU;2100;Call;1096,528;0,00%;15.048.426;15:12:01;1089,310;1115,140;1089,310;0,000;136;3032,75;1,30%;63,50%;0,00%;5,40%;61;0,1671
19/04/2024;GFGC2200JU;2200;Call;1021,163;9,80%;4.523.713;14:56:42;945,000;1029,380;945,000;930,000;46;3032,75;1,30%;63,50%;0,00%;6,21%;61;0,1671
19/04/2024;GFGC2300JU;2300;Call;937,692;8,29%;2.309.588;14:52:24;908,700;961,020;908,700;865,910;25;3032,75;1,30%;63,50%;0,00%;6,76%;61;0,1671
19/04/2024;GFGC2400JU;2400;Call;825,000;9,85%;4.809.683;16:52:14;793,760;876,050;785,000;751,000;57;3032,75;1,30%;63,50%;0,00%;6,34%;61;0,1671
19/04/2024;GFGC2500JU;2500;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;603,000;0;3032,75;1,30%;63,50%;;;61;0,1671
19/04/2024;GFGC2600JU;2600;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;594,990;0;3032,75;1,30%;63,50%;;;61;0,1671
