FECHA;ESPECIE;BASE;TIPO;ÚLTIMO;%;MONTO;HORA;APE.;MAX.;MIN.;C. ANT.;NOMINAL;PRECIO GGAL;VAR. % GGAL;TLR;VI %;VE %;DÍAS AL VTO.;PLAZO (años)
18/08/2023;GFGC33456O;334,56;Call;833,000;-1,16%;578.100;16:55:16;821,000;833,000;820,000;842,772;7;1100,70;-0,66%;95,00%;226,30%;6,07%;63;0,1726
18/08/2023;GFGC35456O;354,56;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1100,70;-0,66%;95,00%;;;63;0,1726
18/08/2023;GFGC420.OC;420;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1100,70;-0,66%;95,00%;;;63;0,1726
18/08/2023;GFGC43456O;434,56;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;565,000;0;1100,70;-0,66%;95,00%;;;63;0,1726
18/08/2023;GFGC49083O;490,83;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1100,70;-0,66%;95,00%;;;63;0,1726
18/08/2023;GFGC500.OC;500;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;203,333;0;1100,70;-0,66%;95,00%;;;63;0,1726
18/08/2023;GFGC51152O;511,52;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1100,70;-0,66%;95,00%;;;63;0,1726
18/08/2023;GFGC560.OC;560;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1100,70;-0,66%;95,00%;;;63;0,1726
18/08/2023;GFGC580.OC;580;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1100,70;-0,66%;95,00%;;;63;0,1726
18/08/2023;GFGC59152O;591,52;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1100,70;-0,66%;95,00%;;;63;0,1726
18/08/2023;GFGC59456O;594,56;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1100,70;-0,66%;95,00%;;;63;0,1726
18/08/2023;GFGC63152O;631,52;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1100,70;-0,66%;95,00%;;;63;0,1726
18/08/2023;GFGC65152O;651,52;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1100,70;-0,66%;95,00%;;;63;0,1726
18/08/2023;GFGC67456O;674,56;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;567,041;0;1100,70;-0,66%;95,00%;;;63;0,1726
