FECHA;ESPECIE;BASE;TIPO;ÚLTIMO;%;MONTO;HORA;APE.;MAX.;MIN.;C. ANT.;NOMINAL;PRECIO GGAL;VAR. % GGAL;TLR;VI %;VE %;DÍAS AL VTO.;PLAZO (años)
16/02/2024;GFGC700.AB;700;Call;1722,000;-3,11%;1.055.700;16:21:16;1860,000;1860,000;1681,000;1777,221;6;2309,20;-1,65%;92,75%;172,95%;4,88%;63;0,1726
16/02/2024;GFGC770.AB;770;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1750,000;0;2309,20;-1,65%;92,75%;;;63;0,1726
16/02/2024;GFGC800.AB;800;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1610,000;0;2309,20;-1,65%;92,75%;;;63;0,1726
16/02/2024;GFGC1250AB;1250;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1370,000;0;2309,20;-1,65%;92,75%;;;63;0,1726
16/02/2024;GFGC1300AB;1300;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1136,000;0;2309,20;-1,65%;92,75%;;;63;0,1726
16/02/2024;GFGC1350AB;1350;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1230,000;0;2309,20;-1,65%;92,75%;;;63;0,1726
16/02/2024;GFGC1400AB;1400;Call;1157,750;5,73%;231.550;14:54:47;1157,750;1157,750;1157,750;1095,000;2;2309,20;-1,65%;92,75%;125,63%;10,76%;63;0,1726
16/02/2024;GFGC1450AB;1450;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1060,000;0;2309,20;-1,65%;92,75%;;;63;0,1726
16/02/2024;GFGC1500AB;1500;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1000,000;0;2309,20;-1,65%;92,75%;;;63;0,1726
16/02/2024;GFGC1570AB;1570;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;970,000;0;2309,20;-1,65%;92,75%;;;63;0,1726
16/02/2024;GFGC1640AB;1640;Call;941,856;-11,06%;94.186;14:53:37;941,856;941,856;941,856;1059,000;1;2309,20;-1,65%;92,75%;92,08%;11,81%;63;0,1726
16/02/2024;GFGC1710AB;1710;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;899,999;0;2309,20;-1,65%;92,75%;;;63;0,1726
16/02/2024;GFGC1780AB;1780;Call;819,100;6,55%;4.605.669;16:56:19;751,416;824,200;751,416;768,760;57;2309,20;-1,65%;92,75%;77,28%;12,55%;63;0,1726
16/02/2024;GFGC1860AB;1860;Call;750,100;2,75%;26.584.542;16:05:16;737,999;756,400;693,648;730,000;374;2309,20;-1,65%;92,75%;70,22%;13,03%;63;0,1726
16/02/2024;GFGC1940AB;1940;Call;691,950;-11,97%;4.953.353;16:50:51;729,100;729,100;635,000;786,043;73;2309,20;-1,65%;92,75%;70,42%;13,98%;63;0,1726
16/02/2024;GFGC2020AB;2020;Call;629,353;-4,64%;4.318.002;16:57:17;594,048;632,000;562,743;660,000;70;2309,20;-1,65%;92,75%;67,04%;14,73%;63;0,1726
16/02/2024;GFGC2100AB;2100;Call;564,488;-6,09%;44.349.366;16:59:49;560,000;589,989;510,000;601,073;819;2309,20;-1,65%;92,75%;62,21%;15,39%;63;0,1726
16/02/2024;GFGC2200AB;2200;Call;490,167;-12,13%;9.794.008;16:57:48;513,470;513,470;433,313;557,850;210;2309,20;-1,65%;92,75%;58,90%;16,50%;63;0,1726
16/02/2024;GFGC2300AB;2300;Call;443,667;-1,41%;28.004.793;16:52:50;425,000;463,040;380,000;450,000;694;2309,20;-1,65%;92,75%;64,65%;18,81%;63;0,1726
16/02/2024;GFGC2400AB;2400;Call;372,000;-4,12%;16.152.663;16:59:57;400,000;400,000;336,500;388,000;453;2309,20;-1,65%;92,75%;59,67%;16,11%;63;0,1726
16/02/2024;GFGC2500AB;2500;Call;321,434;-7,04%;89.995.805;16:59:44;301,000;340,000;278,000;345,766;2.965;2309,20;-1,65%;92,75%;60,11%;13,92%;63;0,1726
16/02/2024;GFGC2600AB;2600;Call;273,143;-8,68%;14.812.119;16:58:39;292,800;292,800;238,000;299,097;586;2309,20;-1,65%;92,75%;59,66%;11,83%;63;0,1726
16/02/2024;GFGC2700AB;2700;Call;227,220;-10,07%;11.667.849;16:56:06;252,000;252,000;198,722;252,673;546;2309,20;-1,65%;92,75%;58,49%;9,84%;63;0,1726
16/02/2024;GFGC2800AB;2800;Call;197,441;-6,46%;30.534.278;16:58:33;220,000;249,000;159,047;211,070;1.729;2309,20;-1,65%;92,75%;60,24%;8,55%;63;0,1726
16/02/2024;GFGC2900AB;2900;Call;156,087;-8,18%;42.075.658;16:59:57;175,000;175,000;130,000;170,000;2.944;2309,20;-1,65%;92,75%;57,69%;6,76%;63;0,1726
16/02/2024;GFGC3000AB;3000;Call;125,482;-6,85%;137.331.559;16:59:47;134,000;140,000;104,000;134,705;11.918;2309,20;-1,65%;92,75%;56,73%;5,43%;63;0,1726
16/02/2024;GFGC3150AB;3150;Call;93,370;-8,83%;7.965.357;16:59:57;103,000;103,000;75,000;102,411;953;2309,20;-1,65%;92,75%;56,96%;4,04%;63;0,1726
16/02/2024;GFGC3300AB;3300;Call;71,300;-11,87%;12.476.135;16:56:59;85,000;86,000;56,500;80,903;1.855;2309,20;-1,65%;92,75%;58,01%;3,09%;63;0,1726
16/02/2024;GFGC3450AB;3450;Call;51,100;-16,23%;1.855.280;16:44:47;65,000;65,000;43,666;61,000;376;2309,20;-1,65%;92,75%;57,70%;2,21%;63;0,1726
16/02/2024;GFGC3600AB;3600;Call;43,990;-6,40%;3.295.746;16:52:11;50,000;50,000;32,501;47,000;863;2309,20;-1,65%;92,75%;60,90%;1,90%;63;0,1726
16/02/2024;GFGC3750AB;3750;Call;29,849;-16,51%;353.916;16:36:37;36,000;36,000;25,166;35,750;123;2309,20;-1,65%;92,75%;59,67%;1,29%;63;0,1726
16/02/2024;GFGC3900AB;3900;Call;23,208;-7,55%;2.401.363;16:59:25;25,200;25,200;18,201;25,102;1.147;2309,20;-1,65%;92,75%;60,75%;1,01%;63;0,1726
16/02/2024;GFGC4050AB;4050;Call;16,750;-14,43%;81.926;16:44:47;15,000;17,900;14,000;19,575;55;2309,20;-1,65%;92,75%;60,72%;0,73%;63;0,1726
16/02/2024;GFGC4200AB;4200;Call;10,469;-12,76%;1.855.825;16:59:57;16,000;16,000;9,800;12,000;1.569;2309,20;-1,65%;92,75%;59,15%;0,45%;63;0,1726
