FECHA;ESPECIE;BASE;TIPO;ÚLTIMO;%;MONTO;HORA;APE.;MAX.;MIN.;C. ANT.;NOMINAL;PRECIO GGAL;VAR. % GGAL;TLR;VI %;VE %;DELTA;GAMMA;VEGA;THETA;DÍAS AL VTO.;PLAZO (años)
17/04/2026;GFGC43487J;4348,7;Call;2768,620;-4,36%;29.287.356;16:42:17;2938,110;2953,060;2768,620;2894,713;100;7005,00;-1,75%;23,00%;0,00%;1,60%;0,9970;0,0000;0,2654;-2,7183;63;0,1726
17/04/2026;GFGC4574JU;4574;Call;2588,550;-3,95%;2.152.991;16:33:42;2735,190;2735,190;2588,550;2694,889;8;7005,00;-1,75%;23,00%;0,00%;2,25%;0,9936;0,0000;0,5234;-2,9347;63;0,1726
17/04/2026;GFGC4774JU;4774;Call;2362,330;-5,78%;1.224.932;16:55:28;2526,830;2526,830;2362,330;2507,163;5;7005,00;-1,75%;23,00%;0,00%;1,87%;0,9884;0,0000;0,8830;-3,1648;63;0,1726
17/04/2026;GFGC5000JU;5000;Call;2225,080;-0,47%;913.077;15:15:02;2360,490;2360,490;2225,080;2235,598;4;7005,00;-1,75%;23,00%;54,26%;3,14%;0,9789;0,0000;1,4718;-3,4756;63;0,1726
17/04/2026;GFGC5174JU;5174;Call;2131,635;-1,64%;426.327;11:50:19;2131,635;2131,635;2131,635;2167,280;2;7005,00;-1,75%;23,00%;69,86%;4,29%;0,9683;0,0001;2,0710;-3,7528;63;0,1726
17/04/2026;GFGC5374JU;5374;Call;1890,000;-4,50%;378.000;14:25:25;1890,000;1890,000;1890,000;1979,140;2;7005,00;-1,75%;23,00%;52,94%;3,70%;0,9518;0,0001;2,9172;-4,1084;63;0,1726
17/04/2026;GFGC55487J;5548,7;Call;1774,914;-1,39%;354.983;11:51:15;1774,914;1774,914;1774,914;1800,000;2;7005,00;-1,75%;23,00%;59,54%;4,55%;0,9329;0,0001;3,7816;-4,4438;63;0,1726
17/04/2026;GFGC5774JU;5774;Call;1466,040;0,00%;7.209.123;16:08:26;1562,495;1562,495;1466,040;0,000;48;7005,00;-1,75%;23,00%;30,55%;3,36%;0,9021;0,0001;5,0297;-4,8928;63;0,1726
17/04/2026;GFGC5974JU;5974;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;7005,00;-1,75%;23,00%;;;0,8684;0,0002;6,2103;-5,2854;63;0,1726
17/04/2026;GFGC61487J;6148,7;Call;1100,000;-9,28%;13.988.177;16:51:12;1263,962;1270,756;1100,000;1212,500;118;7005,00;-1,75%;23,00%;20,29%;3,48%;0,8341;0,0002;7,2486;-5,6055;63;0,1726
17/04/2026;GFGC63487J;6348,7;Call;1030,000;-7,84%;2.907.204;14:27:28;1086,519;1092,359;1028,713;1117,641;27;7005,00;-1,75%;23,00%;40,42%;5,33%;0,7900;0,0002;8,3882;-5,9261;63;0,1726
17/04/2026;GFGC65487J;6548,7;Call;840,000;-7,69%;31.855.490;16:58:33;937,304;964,000;840,000;910,000;356;7005,00;-1,75%;23,00%;34,92%;5,48%;0,7412;0,0002;9,4173;-6,1788;63;0,1726
17/04/2026;GFGC67487J;6748,7;Call;688,000;-10,12%;48.367.476;16:48:01;777,001;799,000;688,000;765,477;656;7005,00;-1,75%;23,00%;33,35%;6,16%;0,6888;0,0003;10,2838;-6,3483;63;0,1726
17/04/2026;GFGC6974JU;6974;Call;544,110;-10,18%;56.401.204;16:58:26;640,000;650,000;541,000;605,766;964;7005,00;-1,75%;23,00%;32,92%;7,32%;0,6270;0,0003;11,0166;-6,4278;63;0,1726
17/04/2026;GFGC71487J;7148,7;Call;445,101;-10,48%;340.325.680;16:59:41;550,000;553,900;445,101;497,195;7000;7005,00;-1,75%;23,00%;32,55%;6,35%;0,5781;0,0003;11,3873;-6,4052;63;0,1726
17/04/2026;GFGC73487J;7348,7;Call;349,500;-9,92%;177.020.050;16:59:55;420,000;437,000;344,000;387,981;4563;7005,00;-1,75%;23,00%;32,42%;4,99%;0,5220;0,0003;11,5925;-6,2915;63;0,1726
17/04/2026;GFGC75241J;7524,1;Call;272,000;-10,63%;711.739.229;16:59:56;330,000;355,000;266,006;304,365;23446;7005,00;-1,75%;23,00%;31,75%;3,88%;0,4738;0,0003;11,5851;-6,1203;63;0,1726
