FECHA;ESPECIE;BASE;TIPO;ÚLTIMO;%;MONTO;HORA;APE.;MAX.;MIN.;C. ANT.;NOMINAL;PRECIO GGAL;VAR. % GGAL;TLR;VI %;VE %;DELTA;GAMMA;VEGA;THETA;DÍAS AL VTO.;PLAZO (años)
19/06/2025;GFGC3900AG;3900;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;6370,00;0,47%;29,50%;;;0,9997;0,0000;0,0260;-3,0205;56;0,1534
19/06/2025;GFGC4200AG;4200;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;6370,00;0,47%;29,50%;;;0,9986;0,0000;0,1164;-3,2788;56;0,1534
19/06/2025;GFGC4500AG;4500;Call;2126,510;-1,32%;212.651;14:58:25;2126,510;2126,510;2126,510;2154,970;1;6370,00;0,47%;29,50%;72,89%;4,03%;0,9946;0,0000;0,3863;-3,5868;56;0,1534
19/06/2025;GFGC4800AG;4800;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1729,700;0;6370,00;0,47%;29,50%;;;0,9840;0,0000;1,0010;-3,9831;56;0,1534
19/06/2025;GFGC5100AG;5100;Call;1439,000;-9,65%;143.900;11:31:40;1439,000;1439,000;1439,000;1592,690;1;6370,00;0,47%;29,50%;0,00%;2,65%;0,9610;0,0001;2,1072;-4,4889;56;0,1534
19/06/2025;GFGC53452G;5345,2;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1377,890;0;6370,00;0,47%;29,50%;;;0,9288;0,0001;3,3941;-4,9653;56;0,1534
19/06/2025;GFGC56452G;5645,2;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;2037,000;0;6370,00;0,47%;29,50%;;;0,8694;0,0002;5,2949;-5,5504;56;0,1534
19/06/2025;GFGC59452G;5945,2;Call;800,000;-20,00%;2.912.750;15:08:24;800,000;821,000;800,000;1000,000;36;6370,00;0,47%;29,50%;37,77%;5,89%;0,7876;0,0003;7,2395;-6,0165;56;0,1534
19/06/2025;GFGC6200AG;6200;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;6370,00;0,47%;29,50%;;;0,7034;0,0003;8,6305;-6,2238;56;0,1534
19/06/2025;GFGC63452G;6345,2;Call;584,000;1,56%;90.945.069;16:59:43;585,000;605,000;558,333;575,054;1603;6370,00;0,47%;29,50%;42,61%;8,78%;0,6512;0,0004;9,2300;-6,2419;56;0,1534
19/06/2025;GFGC65452G;6545,2;Call;475,003;1,29%;26.902.738;16:58:46;465,001;480,000;456,000;468,955;578;6370,00;0,47%;29,50%;42,15%;7,46%;0,5767;0,0004;9,7694;-6,1392;56;0,1534
19/06/2025;GFGC67452G;6745,2;Call;385,000;2,91%;28.866.416;16:59:43;395,000;395,000;366,000;374,119;767;6370,00;0,47%;29,50%;42,22%;6,04%;0,5017;0,0004;9,9539;-5,8934;56;0,1534
19/06/2025;GFGC69452G;6945,2;Call;310,000;3,94%;40.738.873;16:59:43;296,000;317,000;290,001;298,247;1347;6370,00;0,47%;29,50%;42,44%;4,87%;0,4288;0,0004;9,7950;-5,5226;56;0,1534
19/06/2025;GFGC71452G;7145,2;Call;246,337;3,73%;31.126.083;16:59:26;240,000;247,000;226,000;237,488;1298;6370,00;0,47%;29,50%;42,55%;3,87%;0,3602;0,0004;9,3362;-5,0548;56;0,1534
19/06/2025;GFGC73452G;7345,2;Call;196,500;5,82%;61.244.114;16:59:55;175,000;205,000;175,000;185,687;3272;6370,00;0,47%;29,50%;42,97%;3,08%;0,2975;0,0003;8,6426;-4,5229;56;0,1534
19/06/2025;GFGC75452G;7545,2;Call;154,000;6,92%;56.956.629;16:59:56;121,001;154,000;121,001;144,034;3912;6370,00;0,47%;29,50%;43,13%;2,42%;0,2418;0,0003;7,7886;-3,9604;56;0,1534
19/06/2025;GFGC77452G;7745,2;Call;116,999;6,91%;21.916.949;16:59:50;117,500;127,000;100,004;109,438;1923;6370,00;0,47%;29,50%;42,91%;1,84%;0,1935;0,0003;6,8477;-3,3975;56;0,1534
19/06/2025;GFGC79452G;7945,2;Call;88,000;9,46%;21.908.617;16:59:24;76,500;120,000;76,000;80,392;2581;6370,00;0,47%;29,50%;42,74%;1,38%;0,1526;0,0002;5,8850;-2,8587;56;0,1534
19/06/2025;GFGC82452G;8245,2;Call;58,003;9,16%;6.086.873;16:52:16;55,331;58,003;53,000;53,136;1087;6370,00;0,47%;29,50%;42,89%;0,91%;0,1041;0,0002;4,5102;-2,1332;56;0,1534
19/06/2025;GFGC85452G;8545,2;Call;40,950;10,96%;6.698.786;16:59:29;36,757;40,950;36,360;36,905;1744;6370,00;0,47%;29,50%;43,88%;0,64%;0,0690;0,0001;3,3147;-1,5337;56;0,1534
19/06/2025;GFGC8900AG;8900;Call;25,737;7,01%;1.163.228;16:50:49;24,000;31,000;19,333;24,051;470;6370,00;0,47%;29,50%;44,47%;0,40%;0,0410;0,0001;2,1953;-0,9943;56;0,1534
19/06/2025;GFGC9200AG;9200;Call;18,000;0,00%;23.008;15:13:07;19,012;19,999;16,680;18,000;12;6370,00;0,47%;29,50%;45,25%;0,28%;0,0258;0,0001;1,4950;-0,6670;56;0,1534
19/06/2025;GFGC94452G;9445,2;Call;15,006;-6,51%;459.246;16:57:46;14,529;16,007;14,301;16,051;311;6370,00;0,47%;29,50%;46,68%;0,24%;0,0173;0,0000;1,0687;-0,4717;56;0,1534
19/06/2025;GFGC9500AG;9500;Call;14,000;0,00%;718.521;15:55:59;17,854;17,854;14,000;0,000;512;6370,00;0,47%;29,50%;46,76%;0,22%;0,0158;0,0000;0,9890;-0,4356;56;0,1534
19/06/2025;GFGC97452G;9745,2;Call;12,000;-1,51%;652.555;16:57:14;11,927;12,499;10,013;12,184;569;6370,00;0,47%;29,50%;48,26%;0,19%;0,0105;0,0000;0,6920;-0,3020;56;0,1534
19/06/2025;GFGC9800AG;9800;Call;11,000;-17,91%;153.973;16:26:16;10,734;11,000;10,734;13,400;140;6370,00;0,47%;29,50%;48,19%;0,17%;0,0095;0,0000;0,6375;-0,2777;56;0,1534
19/06/2025;GFGC10100G;10100;Call;8,890;-11,10%;1.446.092;16:59:56;10,060;10,950;8,020;10,000;1577;6370,00;0,47%;29,50%;49,68%;0,14%;0,0056;0,0000;0,4014;-0,1732;56;0,1534
19/06/2025;GFGV3900AG;3900;Put;4,000;47,11%;224.087;16:59:43;3,500;4,690;2,560;2,719;681;6370,00;0,47%;29,50%;59,24%;0,06%;-0,0003;0,0000;0,0260;-0,0079;56;0,1534
19/06/2025;GFGV4200AG;4200;Put;5,500;50,68%;382.189;16:59:43;4,494;7,500;3,790;3,650;733;6370,00;0,47%;29,50%;54,06%;0,09%;-0,0014;0,0000;0,1164;-0,0345;56;0,1534
19/06/2025;GFGV4500AG;4500;Put;9,110;-3,47%;347.058;16:58:43;9,025;9,840;6,110;9,437;382;6370,00;0,47%;29,50%;50,52%;0,14%;-0,0054;0,0000;0,3863;-0,1108;56;0,1534
19/06/2025;GFGV4800AG;4800;Put;15,650;7,94%;175.712;16:59:25;16,425;16,425;13,500;14,499;117;6370,00;0,47%;29,50%;47,50%;0,25%;-0,0160;0,0000;1,0010;-0,2754;56;0,1534
19/06/2025;GFGV5100AG;5100;Put;28,999;19,31%;3.869.918;16:59:43;23,500;44,000;20,750;24,306;1487;6370,00;0,47%;29,50%;45,53%;0,46%;-0,0390;0,0001;2,1072;-0,5494;56;0,1534
19/06/2025;GFGV53452G;5345,2;Put;49,666;18,31%;6.419.642;16:58:31;42,000;58,000;39,000;41,979;1418;6370,00;0,47%;29,50%;44,79%;0,78%;-0,0712;0,0001;3,3941;-0,8364;56;0,1534
19/06/2025;GFGV56452G;5645,2;Put;84,000;16,55%;7.777.769;16:59:43;85,000;105,000;70,000;72,070;956;6370,00;0,47%;29,50%;42,95%;1,32%;-0,1306;0,0002;5,2949;-1,1897;56;0,1534
19/06/2025;GFGV59452G;5945,2;Put;145,300;17,08%;28.469.156;16:59:43;115,000;181,000;115,000;124,101;1958;6370,00;0,47%;29,50%;42,39%;2,28%;-0,2124;0,0003;7,2395;-1,4241;56;0,1534
19/06/2025;GFGV6200AG;6200;Put;216,146;11,62%;14.576.561;16:58:31;160,001;260,000;160,001;193,653;665;6370,00;0,47%;29,50%;41,66%;3,39%;-0,2966;0,0003;8,6305;-1,4346;56;0,1534
19/06/2025;GFGV63452G;6345,2;Put;273,366;10,95%;79.199.137;16:57:51;286,500;315,000;206,000;246,396;2902;6370,00;0,47%;29,50%;42,06%;4,29%;-0,3488;0,0004;9,2300;-1,3406;56;0,1534
19/06/2025;GFGV65452G;6545,2;Put;369,999;9,73%;37.709.889;16:59:50;364,216;442,997;340,000;337,192;1004;6370,00;0,47%;29,50%;43,11%;3,06%;-0,4233;0,0004;9,7694;-1,0833;56;0,1534
19/06/2025;GFGV67452G;6745,2;Put;479,000;4,02%;22.647.323;16:57:52;571,000;571,000;470,000;460,470;455;6370,00;0,47%;29,50%;43,95%;1,63%;-0,4983;0,0004;9,9539;-0,6830;56;0,1534
19/06/2025;GFGV69452G;6945,2;Put;605,000;2,57%;23.522.191;16:59:17;630,000;635,000;595,000;589,864;378;6370,00;0,47%;29,50%;45,20%;0,47%;-0,5712;0,0004;9,7950;-0,1578;56;0,1534
19/06/2025;GFGV71452G;7145,2;Put;734,002;-2,13%;5.734.514;16:58:29;850,000;873,000;734,001;749,984;76;6370,00;0,47%;29,50%;45,58%;-0,65%;-0,6398;0,0004;9,3362;0,4646;56;0,1534
19/06/2025;GFGV73452G;7345,2;Put;994,000;6,31%;37.418.349;16:59:11;980,000;1049,000;921,000;935,000;382;6370,00;0,47%;29,50%;58,96%;0,30%;-0,7025;0,0003;8,6426;1,1509;56;0,1534
19/06/2025;GFGV75452G;7545,2;Put;1145,000;-0,43%;16.162.007;16:06:24;1217,999;1217,999;1066,001;1150,000;142;6370,00;0,47%;29,50%;60,35%;-0,47%;-0,7582;0,0003;7,7886;1,8679;56;0,1534
