FECHA;ESPECIE;BASE;TIPO;ÚLTIMO;%;MONTO;HORA;APE.;MAX.;MIN.;C. ANT.;NOMINAL;PRECIO GGAL;VAR. % GGAL;TLR;VI %;VE %;DELTA;GAMMA;VEGA;THETA;DÍAS AL VTO.;PLAZO (años)
16/04/2025;GFGC3300JU;3300;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;7070,00;-4,59%;38,00%;;;0,9990;0,0000;0,1028;-3,2600;64;0,1753
16/04/2025;GFGC3600JU;3600;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;7070,00;-4,59%;38,00%;;;0,9972;0,0000;0,2537;-3,6174;64;0,1753
16/04/2025;GFGC4500JU;4500;Call;3220,000;3,87%;322.000;11:47:20;3220,000;3220,000;3220,000;3100,000;1;7070,00;-4,59%;38,00%;146,33%;9,19%;0,9761;0,0000;1,6636;-5,0618;64;0,1753
16/04/2025;GFGC4800JU;4800;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;7070,00;-4,59%;38,00%;;;0,9600;0,0000;2,5499;-5,6848;64;0,1753
16/04/2025;GFGC5100JU;5100;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;7070,00;-4,59%;38,00%;;;0,9377;0,0001;3,6309;-6,3559;64;0,1753
16/04/2025;GFGC5400JU;5400;Call;1985,863;0,00%;397.173;16:13:49;1985,863;1985,863;1985,863;0,000;2;7070,00;-4,59%;38,00%;0,00%;4,47%;0,9088;0,0001;4,8566;-7,0430;64;0,1753
16/04/2025;GFGC5700JU;5700;Call;1800,000;-14,29%;2.170.000;16:55:32;1900,000;1900,000;1723,310;2100,000;12;7070,00;-4,59%;38,00%;52,30%;6,08%;0,8731;0,0001;6,1573;-7,7074;64;0,1753
16/04/2025;GFGC6000JU;6000;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1850,000;0;7070,00;-4,59%;38,00%;;;0,8313;0,0001;7,4541;-8,3091;64;0,1753
16/04/2025;GFGC6200JU;6200;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1800,000;0;7070,00;-4,59%;38,00%;;;0,8004;0,0001;8,2779;-8,6575;64;0,1753
16/04/2025;GFGC6400JU;6400;Call;1170,010;-21,90%;6.797.601;16:48:15;1400,000;1400,000;1100,000;1498,181;50;7070,00;-4,59%;38,00%;39,32%;7,07%;0,7675;0,0002;9,0449;-8,9532;64;0,1753
16/04/2025;GFGC6600JU;6600;Call;1050,000;-22,22%;2.918.152;16:37:06;1310,984;1310,984;1050,000;1350,000;24;7070,00;-4,59%;38,00%;42,93%;8,20%;0,7328;0,0002;9,7374;-9,1897;64;0,1753
16/04/2025;GFGC6800JU;6800;Call;975,000;-19,02%;41.587.907;16:59:24;1040,000;1174,000;900,001;1204,000;423;7070,00;-4,59%;38,00%;49,14%;9,97%;0,6969;0,0002;10,3415;-9,3623;64;0,1753
16/04/2025;GFGC7000JU;7000;Call;820,000;-25,06%;206.403.682;16:59:59;1070,000;1070,000;800,000;1094,181;2284;7070,00;-4,59%;38,00%;45,65%;10,61%;0,6601;0,0002;10,8469;-9,4685;64;0,1753
16/04/2025;GFGC7200JU;7200;Call;720,000;-24,74%;136.444.518;16:59:42;995,000;999,000;701,000;956,688;1677;7070,00;-4,59%;38,00%;46,61%;10,18%;0,6227;0,0002;11,2472;-9,5080;64;0,1753
16/04/2025;GFGC7400JU;7400;Call;610,000;-28,87%;240.071.669;16:59:58;880,000;890,000;604,000;857,615;3524;7070,00;-4,59%;38,00%;45,70%;8,63%;0,5853;0,0002;11,5396;-9,4823;64;0,1753
16/04/2025;GFGC7600JU;7600;Call;530,000;-28,78%;154.660.638;16:59:56;789,000;830,000;510,000;744,224;2613;7070,00;-4,59%;38,00%;46,50%;7,50%;0,5481;0,0002;11,7246;-9,3944;64;0,1753
16/04/2025;GFGC7800JU;7800;Call;433,500;-33,47%;176.806.230;16:56:19;670,000;690,000;432,020;651,602;3383;7070,00;-4,59%;38,00%;45,03%;6,13%;0,5115;0,0002;11,8058;-9,2488;64;0,1753
16/04/2025;GFGC8000JU;8000;Call;367,000;-34,99%;566.645.062;16:59:54;605,999;605,999;359,000;564,567;12666;7070,00;-4,59%;38,00%;45,28%;5,19%;0,4757;0,0002;11,7886;-9,0507;64;0,1753
16/04/2025;GFGC82783J;8278,3;Call;285,000;-37,42%;273.144.088;16:59:42;524,000;524,000;277,030;455,445;8364;7070,00;-4,59%;38,00%;45,25%;4,03%;0,4276;0,0002;11,6159;-8,6995;64;0,1753
16/04/2025;GFGC8600JU;8600;Call;211,000;-39,72%;333.306.067;16:59:57;356,999;365,000;204,000;350,051;12715;7070,00;-4,59%;38,00%;45,36%;2,98%;0,3754;0,0002;11,2297;-8,2050;64;0,1753
16/04/2025;GFGC88783J;8878,3;Call;160,000;-42,61%;133.688.229;16:59:20;290,000;290,000;151,000;278,770;6798;7070,00;-4,59%;38,00%;45,35%;2,26%;0,3334;0,0002;10,7650;-7,7208;64;0,1753
16/04/2025;GFGC91783J;9178,3;Call;125,666;-43,99%;60.093.064;16:58:46;201,000;201,000;120,000;224,347;3896;7070,00;-4,59%;38,00%;46,40%;1,78%;0,2917;0,0002;10,1614;-7,1607;64;0,1753
16/04/2025;GFGC94783J;9478,3;Call;99,000;-44,04%;53.853.659;16:59:15;185,000;185,000;94,000;176,902;4401;7070,00;-4,59%;38,00%;47,40%;1,40%;0,2538;0,0002;9,4831;-6,5799;64;0,1753
16/04/2025;GFGC97783J;9778,3;Call;72,000;-49,30%;21.629.335;16:59:28;143,000;143,000;70,611;142,000;2247;7070,00;-4,59%;38,00%;47,28%;1,02%;0,2197;0,0001;8,7598;-5,9951;64;0,1753
16/04/2025;GFGC10078J;10078;Call;59,999;-44,96%;17.555.077;16:59:48;110,000;110,000;54,000;109,000;2335;7070,00;-4,59%;38,00%;48,84%;0,85%;0,1894;0,0001;8,0177;-5,4204;64;0,1753
16/04/2025;GFGC10578J;10578;Call;38,000;-50,00%;1.844.475;16:59:06;77,000;77,999;38,000;76,000;373;7070,00;-4,59%;38,00%;49,48%;0,54%;0,1464;0,0001;6,7918;-4,5111;64;0,1753
16/04/2025;GFGC11600J;11600;Call;20,001;-44,06%;4.501.771;16:59:19;37,949;41,000;20,001;35,755;1675;7070,00;-4,59%;38,00%;53,12%;0,28%;0,0839;0,0001;4,5633;-2,9465;64;0,1753
16/04/2025;GFGC12578J;12578;Call;15,000;-31,77%;7.209.968;16:59:43;20,010;26,000;15,000;21,984;4339;7070,00;-4,59%;38,00%;58,39%;0,21%;0,0478;0,0000;2,9472;-1,8649;64;0,1753
16/04/2025;GFGV3300JU;3300;Put;2,800;24,11%;262.613;16:59:41;2,010;3,000;2,000;2,256;1117;7070,00;-4,59%;38,00%;78,36%;0,04%;-0,0010;0,0000;0,1028;-0,0458;64;0,1753
16/04/2025;GFGV3600JU;3600;Put;2,151;0,00%;221.938;16:59:42;2,100;3,000;1,500;0,000;923;7070,00;-4,59%;38,00%;68,58%;0,03%;-0,0028;0,0000;0,2537;-0,1110;64;0,1753
16/04/2025;GFGV4500JU;4500;Put;7,000;0,00%;325.635;16:58:18;2,999;12,000;2,999;0,000;402;7070,00;-4,59%;38,00%;57,18%;0,10%;-0,0239;0,0000;1,6636;-0,6789;64;0,1753
