FECHA;ESPECIE;BASE;TIPO;ÚLTIMO;%;MONTO;HORA;APE.;MAX.;MIN.;C. ANT.;NOMINAL;PRECIO GGAL;VAR. % GGAL;TLR;VI %;VE %;DÍAS AL VTO.;PLAZO (años)
18/10/2024;GFGC3150DI;3150;Call;3000,000;7,14%;900.000;16:12:06;3000,000;3000,000;3000,000;2800,000;3;6040,00;3,96%;42,86%;0,00%;1,82%;63;0,1726
18/10/2024;GFGC36464D;3646,4;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;2360,000;0;6040,00;3,96%;42,86%;;;63;0,1726
18/10/2024;GFGC37964D;3796,4;Call;2500,000;13,64%;250.000;16:54:19;2500,000;2500,000;2500,000;2200,000;1;6040,00;3,96%;42,86%;0,00%;4,25%;63;0,1726
18/10/2024;GFGC4050DI;4050;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1960,000;0;6040,00;3,96%;42,86%;;;63;0,1726
18/10/2024;GFGC4200DI;4200;Call;2000,000;0,00%;403.500;15:33:57;2035,000;2035,000;2000,000;0,000;2;6040,00;3,96%;42,86%;0,00%;2,65%;63;0,1726
18/10/2024;GFGC42964D;4296,4;Call;1940,000;10,62%;20.562.601;16:26:27;1871,884;1940,000;1871,884;1753,717;109;6040,00;3,96%;42,86%;0,00%;3,25%;63;0,1726
18/10/2024;GFGC4600DI;4600;Call;1740,000;11,30%;5.178.912;16:59:54;1524,999;1740,000;1524,999;1563,302;31;6040,00;3,96%;42,86%;0,00%;4,97%;63;0,1726
18/10/2024;GFGC4800DI;4800;Call;1520,000;12,59%;32.807.805;16:59:18;1290,000;1550,000;1289,999;1350,000;230;6040,00;3,96%;42,86%;0,00%;4,64%;63;0,1726
18/10/2024;GFGC5000DI;5000;Call;1324,987;20,45%;17.508.798;16:50:08;1150,000;1324,987;1078,381;1100,000;138;6040,00;3,96%;42,86%;0,00%;4,72%;63;0,1726
18/10/2024;GFGC50964D;5096,4;Call;1250,000;16,53%;25.198.806;16:52:55;1100,000;1250,000;1003,372;1072,727;221;6040,00;3,96%;42,86%;0,00%;5,07%;63;0,1726
18/10/2024;GFGC5400DI;5400;Call;1045,000;23,17%;185.295.686;16:59:56;900,000;1045,000;801,000;848,429;2001;6040,00;3,96%;42,86%;29,83%;6,71%;63;0,1726
18/10/2024;GFGC5600DI;5600;Call;870,000;22,73%;70.084.307;16:59:46;740,000;870,000;670,002;708,862;948;6040,00;3,96%;42,86%;28,04%;7,12%;63;0,1726
18/10/2024;GFGC5800DI;5800;Call;740,000;26,10%;346.081.800;16:59:57;600,119;742,030;545,000;586,832;5.481;6040,00;3,96%;42,86%;32,74%;8,28%;63;0,1726
18/10/2024;GFGC58964D;5896,4;Call;688,970;36,01%;181.567.102;16:59:58;519,999;688,970;489,999;506,560;3.098;6040,00;3,96%;42,86%;35,04%;9,03%;63;0,1726
18/10/2024;GFGC60964D;6096,4;Call;560,000;31,07%;1.105.826.697;16:59:50;420,000;560,000;398,670;427,259;23.737;6040,00;3,96%;42,86%;34,86%;9,27%;63;0,1726
18/10/2024;GFGC6400DI;6400;Call;416,180;38,19%;256.169.740;16:59:55;316,970;421,120;276,000;301,169;7.286;6040,00;3,96%;42,86%;36,89%;6,89%;63;0,1726
18/10/2024;GFGC6600DI;6600;Call;340,010;43,98%;168.974.111;16:59:53;230,000;347,100;218,000;236,158;6.209;6040,00;3,96%;42,86%;38,02%;5,63%;63;0,1726
18/10/2024;GFGC6800DI;6800;Call;273,660;51,98%;94.872.726;16:58:52;190,000;273,660;167,440;180,063;4.483;6040,00;3,96%;42,86%;38,73%;4,53%;63;0,1726
18/10/2024;GFGC7000DI;7000;Call;218,330;58,36%;141.036.424;16:59:59;148,000;249,998;127,000;137,866;8295;6040,00;3,96%;42,86%;39,32%;3,61%;63;0,1726
18/10/2024;GFGC7200DI;7200;Call;173,900;71,98%;49.918.837;16:59:57;105,000;173,900;92,000;101,116;4.005;6040,00;3,96%;42,86%;39,95%;2,88%;63;0,1726
18/10/2024;GFGC7400DI;7400;Call;129,000;62,69%;9.183.102;16:59:15;80,000;129,700;72,000;79,291;936;6040,00;3,96%;42,86%;39,39%;2,14%;63;0,1726
18/10/2024;GFGC7600DI;7600;Call;103,990;73,27%;58.201.678;16:59:42;59,995;103,990;57,050;60,017;7.688;6040,00;3,96%;42,86%;40,36%;1,72%;63;0,1726
18/10/2024;GFGV3150DI;3150;Put;1,250;3,91%;400.805;16:58:00;0,925;1,350;0,925;1,203;3258;6040,00;3,96%;42,86%;65,00%;0,02%;63;0,1726
18/10/2024;GFGV36464D;3646,4;Put;1,400;-6,67%;275;12:55:57;1,350;1,400;1,350;1,500;2;6040,00;3,96%;42,86%;53,32%;0,02%;63;0,1726
18/10/2024;GFGV37964D;3796,4;Put;1,900;23,14%;182.417;16:55:23;1,899;1,900;1,600;1,543;1079;6040,00;3,96%;42,86%;51,60%;0,03%;63;0,1726
18/10/2024;GFGV4050DI;4050;Put;2,550;27,50%;211.954;16:59:53;2,300;2,650;1,800;2,000;1.019;6040,00;3,96%;42,86%;47,51%;0,04%;63;0,1726
18/10/2024;GFGV4200DI;4200;Put;2,550;-14,86%;139.680;16:59:59;2,700;3,296;2,300;2,995;509;6040,00;3,96%;42,86%;44,19%;0,04%;63;0,1726
18/10/2024;GFGV42964D;4296,4;Put;3,550;-18,39%;211.595;16:59:54;4,400;4,650;3,000;4,350;613;6040,00;3,96%;42,86%;43,94%;0,06%;63;0,1726
