FECHA;ESPECIE;BASE;TIPO;ÚLTIMO;%;MONTO;HORA;APE.;MAX.;MIN.;C. ANT.;NOMINAL;PRECIO GGAL;VAR. % GGAL;TLR;VI %;VE %;DELTA;GAMMA;VEGA;THETA;DÍAS AL VTO.;PLAZO (años)
14/08/2025;GFGC38785O;3878,5;Call;2864,000;-10,50%;3.462.000;13:25:11;2990,000;2990,000;2864,000;3200,000;12;6450,00;-5,56%;40,03%;81,24%;4,53%;1,0000;0,0000;0,0036;-3,9660;64;0,1753
14/08/2025;GFGC4200OC;4200;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;6450,00;-5,56%;40,03%;;;0,9997;0,0000;0,0271;-4,2994;64;0,1753
14/08/2025;GFGC4500OC;4500;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;6450,00;-5,56%;40,03%;;;0,9986;0,0000;0,1227;-4,6242;64;0,1753
14/08/2025;GFGC47785O;4778,5;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;6450,00;-5,56%;40,03%;;;0,9951;0,0000;0,3819;-4,9543;64;0,1753
14/08/2025;GFGC50573O;5057,3;Call;1904,980;-11,33%;3.519.142;14:32:29;1804,660;1904,980;1804,660;2148,280;19;6450,00;-5,56%;40,03%;79,54%;7,94%;0,9861;0,0000;0,9585;-5,3303;64;0,1753
14/08/2025;GFGC53785O;5378,5;Call;1478,250;0,00%;443.475;12:54:02;1478,250;1478,250;1478,250;0,000;3;6450,00;-5,56%;40,03%;44,27%;6,31%;0,9626;0,0001;2,2017;-5,8237;64;0,1753
14/08/2025;GFGC56573O;5657,3;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1355,000;0;6450,00;-5,56%;40,03%;;;0,9250;0,0001;3,8243;-6,2678;64;0,1753
14/08/2025;GFGC59573O;5957,3;Call;1148,937;-11,63%;2.758.046;16:56:33;1100,000;1148,937;900,000;1300,143;27;6450,00;-5,56%;40,03%;59,77%;10,17%;0,8619;0,0002;5,9562;-6,6737;64;0,1753
14/08/2025;GFGC61785O;6178,5;Call;900,000;-24,37%;33.221.984;16:58:59;900,000;1000,000;830,000;1190,000;373;6450,00;-5,56%;40,03%;46,96%;9,74%;0,8000;0,0003;7,5620;-6,8566;64;0,1753
14/08/2025;GFGC63573O;6357,3;Call;749,000;-25,10%;46.281.365;16:57:38;800,001;830,100;749,000;1000,000;603;6450,00;-5,56%;40,03%;42,48%;10,18%;0,7415;0,0003;8,7343;-6,8979;64;0,1753
14/08/2025;GFGC65785O;6578,5;Call;590,000;-28,05%;154.615.659;16:58:44;668,000;712,000;590,000;820,000;2440;6450,00;-5,56%;40,03%;39,25%;9,15%;0,6613;0,0004;9,8817;-6,7929;64;0,1753
14/08/2025;GFGC67785O;6778,5;Call;480,000;-29,11%;243.232.025;16:58:41;610,000;677,000;475,000;677,059;4577;6450,00;-5,56%;40,03%;38,60%;7,44%;0,5843;0,0004;10,5335;-6,5431;64;0,1753
14/08/2025;GFGC69573O;6957,3;Call;398,582;-29,77%;341.718.300;16:59:44;530,000;530,000;392,000;567,535;7978;6450,00;-5,56%;40,03%;38,56%;6,18%;0,5145;0,0004;10,7678;-6,2034;64;0,1753
14/08/2025;GFGC71785O;7178,5;Call;299,000;-33,67%;162.160.969;16:59:45;400,000;400,000;298,000;450,797;4929;6450,00;-5,56%;40,03%;37,27%;4,64%;0,4301;0,0004;10,6092;-5,6568;64;0,1753
14/08/2025;GFGC73573O;7357,3;Call;230,000;-36,86%;184.094.338;16:59:35;295,000;329,000;230,000;364,286;7136;6450,00;-5,56%;40,03%;36,18%;3,57%;0,3658;0,0004;10,1596;-5,1408;64;0,1753
14/08/2025;GFGC75573O;7557,3;Call;178,000;-37,02%;608.439.213;16:59:58;278,500;278,500;172,040;282,634;31284;6450,00;-5,56%;40,03%;36,29%;2,76%;0,2998;0,0004;9,3884;-4,5193;64;0,1753
14/08/2025;GFGC77573O;7757,3;Call;140,000;-35,73%;134.696.428;16:59:27;195,100;195,100;132,000;217,815;9169;6450,00;-5,56%;40,03%;36,84%;2,17%;0,2413;0,0003;8,4214;-3,8851;64;0,1753
14/08/2025;GFGC79025O;7902,5;Call;115,000;-35,51%;129.079.138;16:59:58;142,001;160,000;108,328;178,314;10595;6450,00;-5,56%;40,03%;36,93%;1,78%;0,2039;0,0003;7,6489;-3,4346;64;0,1753
14/08/2025;GFGC82025O;8202,5;Call;77,999;-41,05%;60.607.536;16:59:52;133,800;133,800;74,000;132,323;7076;6450,00;-5,56%;40,03%;37,50%;1,21%;0,1399;0,0002;6,0098;-2,5731;64;0,1753
14/08/2025;GFGC85573O;8557,3;Call;50,000;-40,42%;35.208.944;16:59:15;83,000;83,000;48,500;83,919;6432;6450,00;-5,56%;40,03%;38,40%;0,78%;0,0857;0,0002;4,2281;-1,7303;64;0,1753
14/08/2025;GFGC88785O;8878,5;Call;33,001;-38,59%;5.274.078;16:59:14;50,000;50,000;33,000;53,743;1440;6450,00;-5,56%;40,03%;39,05%;0,51%;0,0529;0,0001;2,9114;-1,1526;64;0,1753
14/08/2025;GFGC91573O;9157,3;Call;25,000;-33,96%;3.252.942;16:58:39;30,010;33,900;25,000;37,853;1140;6450,00;-5,56%;40,03%;40,27%;0,39%;0,0338;0,0001;2,0286;-0,7839;64;0,1753
14/08/2025;GFGC94785O;9478,5;Call;18,999;-29,63%;531.077;16:59:16;21,001;21,001;17,000;26,999;273;6450,00;-5,56%;40,03%;41,84%;0,29%;0,0196;0,0001;1,2874;-0,4858;64;0,1753
14/08/2025;GFGC97573O;9757,3;Call;14,544;-25,81%;2.641.927;16:57:44;20,000;20,000;13,275;19,603;1676;6450,00;-5,56%;40,03%;42,85%;0,23%;0,0120;0,0000;0,8419;-0,3121;64;0,1753
14/08/2025;GFGC10079O;10079;Call;10,890;-20,82%;13.378.740;16:59:27;15,000;16,000;10,052;13,754;12136;6450,00;-5,56%;40,03%;44,03%;0,17%;0,0066;0,0000;0,5000;-0,1821;64;0,1753
14/08/2025;GFGV38785O;3878,5;Put;2,750;-8,33%;531.913;16:56:42;2,001;4,500;2,001;3,000;1551;6450,00;-5,56%;40,03%;56,68%;0,04%;0,0000;0,0000;0,0036;-0,0008;64;0,1753
