FECHA;ESPECIE;BASE;TIPO;ÚLTIMO;%;MONTO;HORA;APE.;MAX.;MIN.;C. ANT.;NOMINAL;PRECIO GGAL;VAR. % GGAL;TLR;VI %;VE %;DELTA;GAMMA;VEGA;THETA;DÍAS AL VTO.;PLAZO (años)
20/02/2026;GFGC4400AB;4400;Call;2869,840;0,00%;573.968;14:43:54;2869,840;2869,840;2869,840;0,000;2;7170,00;4,67%;36,00%;0,00%;1,39%;0,9996;0,0000;0,0399;-4,1187;56;0,1534
20/02/2026;GFGC4600AB;4600;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;7170,00;4,67%;36,00%;;;0,9990;0,0000;0,0946;-4,3216;56;0,1534
20/02/2026;GFGC4800AB;4800;Call;0,000;0,00%;0;0:00:00;;;;;;7170,00;4,67%;36,00%;;;0,9977;0,0000;0,2022;-4,5392;56;0,1534
20/02/2026;GFGC5000AB;5000;Call;0,000;0,00%;0;0:00:00;;;;;;7170,00;4,67%;36,00%;;;0,9952;0,0000;0,3938;-4,7795;56;0,1534
20/02/2026;GFGC5200AB;5200;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;7170,00;4,67%;36,00%;;;0,9906;0,0000;0,7059;-5,0502;56;0,1534
20/02/2026;GFGC5400AB;5400;Call;0,000;0,00%;0;0:00:00;;;;;;7170,00;4,67%;36,00%;;;0,9832;0,0000;1,1742;-5,3575;56;0,1534
20/02/2026;GFGC5600AB;5600;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;7170,00;4,67%;36,00%;;;0,9716;0,0001;1,8258;-5,7028;56;0,1534
20/02/2026;GFGC5800AB;5800;Call;0,000;0,00%;0;0:00:00;;;;;;7170,00;4,67%;36,00%;;;0,9548;0,0001;2,6709;-6,0808;56;0,1534
20/02/2026;GFGC59754A;5975,4;Call;1490,000;6,43%;149.000;13:58:00;1490,000;1490,000;1490,000;1400,000;1;7170,00;4,67%;36,00%;0,00%;4,12%;0,9350;0,0001;3,5619;-6,4290;56;0,1534
20/02/2026;GFGC61515A;6151,5;Call;1373,809;18,81%;17.998.326;16:49:05;1200,000;1420,000;1110,000;1156,286;141;7170,00;4,67%;36,00%;35,01%;4,96%;0,9097;0,0001;4,5719;-6,7795;56;0,1534
20/02/2026;GFGC6400AB;6400;Call;0,000;0,00%;0;0:00:00;;;;;;7170,00;4,67%;36,00%;;;0,8644;0,0002;6,1162;-7,2413;56;0,1534
20/02/2026;GFGC6600AB;6600;Call;0,000;0,00%;0;0:00:00;;;;;;7170,00;4,67%;36,00%;;;0,8199;0,0002;7,3726;-7,5510;56;0,1534
20/02/2026;GFGC6800AB;6800;Call;0,000;0,00%;0;0:00:00;;;;;;7170,00;4,67%;36,00%;;;0,7688;0,0003;8,5519;-7,7752;56;0,1534
20/02/2026;GFGC69282A;6928,2;Call;711,000;15,23%;467.397.143;16:59:30;635,010;820,000;590,000;617,020;6603;7170,00;4,67%;36,00%;29,18%;6,54%;0,7332;0,0003;9,2307;-7,8631;56;0,1534
20/02/2026;GFGC73515A;7351,5;Call;470,000;16,20%;539.084.058;16:59:38;415,000;600,000;350,000;404,473;11335;7170,00;4,67%;36,00%;32,01%;6,56%;0,6046;0,0003;10,8171;-7,7939;56;0,1534
20/02/2026;GFGC75282A;7528,2;Call;388,000;21,02%;1.685.819.920;16:59:57;340,000;454,900;281,010;320,610;44108;7170,00;4,67%;36,00%;32,65%;5,41%;0,5486;0,0003;11,1210;-7,5972;56;0,1534
20/02/2026;GFGC77515A;7751,5;Call;297,000;18,57%;557.403.875;16:59:56;299,990;357,000;212,110;250,483;18548;7170,00;4,67%;36,00%;33,00%;4,14%;0,4784;0,0003;11,1877;-7,2197;56;0,1534
20/02/2026;GFGC79515A;7951,5;Call;233,150;20,78%;448.962.818;16:59:16;238,990;275,000;171,000;193,039;19502;7170,00;4,67%;36,00%;33,53%;3,25%;0,4178;0,0003;10,9653;-6,7782;56;0,1534
20/02/2026;GFGC82282A;8228,2;Call;162,000;16,62%;305.446.763;16:59:59;160,000;201,990;125,000;138,911;18130;7170,00;4,67%;36,00%;33,95%;2,26%;0,3396;0,0003;10,2853;-6,0496;56;0,1534
20/02/2026;GFGC85754A;8575,4;Call;108,000;26,28%;126.526.148;16:59:58;83,000;137,500;82,000;85,527;12303;7170,00;4,67%;36,00%;35,46%;1,51%;0,2538;0,0003;8,9952;-5,0329;56;0,1534
20/02/2026;GFGC88515A;8851,5;Call;77,000;19,71%;97.639.770;16:58:27;65,500;95,000;60,000;64,323;12249;7170,00;4,67%;36,00%;36,38%;1,07%;0,1967;0,0002;7,7829;-4,2162;56;0,1534
20/02/2026;GFGC91754A;9175,4;Call;57,000;18,82%;19.199.850;16:59:58;54,999;75,000;43,012;47,971;3218;7170,00;4,67%;36,00%;38,37%;0,79%;0,1423;0,0002;6,3194;-3,3173;56;0,1534
20/02/2026;GFGC94754A;9475,4;Call;47,990;33,30%;10.839.256;16:59:26;45,000;55,000;31,000;36,002;2416;7170,00;4,67%;36,00%;41,01%;0,67%;0,1031;0,0002;5,0399;-2,5819;56;0,1534
20/02/2026;GFGC97054A;9705,4;Call;36,400;13,75%;23.920.039;16:59:54;37,000;45,000;27,010;32,001;6558;7170,00;4,67%;36,00%;41,45%;0,51%;0,0795;0,0001;4,1548;-2,0943;56;0,1534
20/02/2026;GFGC10151A;10151;Call;28,000;14,21%;13.789.278;16:59:27;26,000;31,000;23,000;24,517;5081;7170,00;4,67%;36,00%;44,55%;0,39%;0,0466;0,0001;2,7366;-1,3434;56;0,1534
20/02/2026;GFGC10975A;10975;Call;21,999;19,79%;5.566.274;16:59:05;20,055;24,000;15,090;18,364;2907;7170,00;4,67%;36,00%;51,27%;0,31%;0,0158;0,0000;1,1124;-0,5263;56;0,1534
20/02/2026;GFGC11375A;11375;Call;19,000;22,54%;38.589.280;16:59:54;12,000;25,000;12,000;15,505;22199;7170,00;4,67%;36,00%;53,83%;0,26%;0,0090;0,0000;0,6837;-0,3190;56;0,1534
20/02/2026;GFGC11800A;11800;Call;16,597;20,83%;3.869.070;16:59:40;14,700;16,990;7,350;13,736;2569;7170,00;4,67%;36,00%;56,47%;0,23%;0,0049;0,0000;0,3956;-0,1823;56;0,1534
20/02/2026;GFGV4400AB;4400;Put;0,016;0,00%;2;16:58:45;0,016;0,016;0,016;0,000;1;7170,00;4,67%;36,00%;36,92%;0,00%;-0,0004;0,0000;0,0399;-0,0122;56;0,1534
20/02/2026;GFGV4600AB;4600;Put;0,060;0,00%;6;16:58:40;0,060;0,060;0,060;0,000;1;7170,00;4,67%;36,00%;37,19%;0,00%;-0,0010;0,0000;0,0946;-0,0284;56;0,1534
20/02/2026;GFGV4800AB;4800;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;7170,00;4,67%;36,00%;;;-0,0023;0,0000;0,2022;-0,0594;56;0,1534
20/02/2026;GFGV5000AB;5000;Put;10,150;0,00%;1.612.233;16:59:16;30,000;40,000;10,000;0,000;1015;7170,00;4,67%;36,00%;53,00%;0,14%;-0,0048;0,0000;0,3938;-0,1129;56;0,1534
20/02/2026;GFGV5200AB;5200;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;7170,00;4,67%;36,00%;;;-0,0094;0,0000;0,7059;-0,1970;56;0,1534
20/02/2026;GFGV5400AB;5400;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;7170,00;4,67%;36,00%;;;-0,0168;0,0000;1,1742;-0,3177;56;0,1534
20/02/2026;GFGV5600AB;5600;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;7170,00;4,67%;36,00%;;;-0,0284;0,0001;1,8258;-0,4763;56;0,1534
20/02/2026;GFGV5800AB;5800;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;7170,00;4,67%;36,00%;;;-0,0452;0,0001;2,6709;-0,6677;56;0,1534
20/02/2026;GFGV59754A;5975,4;Put;64,000;-40,60%;55.291.856;16:59:36;100,000;107,000;61,500;107,745;6757;7170,00;4,67%;36,00%;49,16%;0,89%;-0,0650;0,0001;3,5619;-0,8521;56;0,1534
20/02/2026;GFGV61515A;6151,5;Put;86,000;-40,80%;181.207.370;16:59:59;120,010;152,989;83,001;145,267;16671;7170,00;4,67%;36,00%;48,79%;1,20%;-0,0903;0,0001;4,5719;-1,0383;56;0,1534
20/02/2026;GFGV6400AB;6400;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;7170,00;4,67%;36,00%;;;-0,1356;0,0002;6,1162;-1,2682;56;0,1534
20/02/2026;GFGV6600AB;6600;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;7170,00;4,67%;36,00%;;;-0,1801;0,0002;7,3726;-1,3912;56;0,1534
20/02/2026;GFGV6800AB;6800;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;7170,00;4,67%;36,00%;;;-0,2312;0,0003;8,5519;-1,4287;56;0,1534
20/02/2026;GFGV69282A;6928,2;Put;265,000;-34,01%;386.163.490;16:59:54;365,000;398,990;250,000;401,576;12413;7170,00;4,67%;36,00%;48,11%;3,70%;-0,2668;0,0003;9,2307;-1,3970;56;0,1534
20/02/2026;GFGV73515A;7351,5;Put;413,990;-29,73%;112.118.703;16:59:16;560,000;590,000;390,011;589,158;2530;7170,00;4,67%;36,00%;46,61%;3,24%;-0,3954;0,0003;10,8171;-0,9327;56;0,1534
20/02/2026;GFGV75282A;7528,2;Put;509,000;-27,88%;166.851.352;16:59:09;680,000;699,999;450,031;705,753;3018;7170,00;4,67%;36,00%;47,69%;2,10%;-0,4514;0,0003;11,1210;-0,5711;56;0,1534
20/02/2026;GFGV77515A;7751,5;Put;640,000;-38,34%;19.796.655;16:52:46;900,500;900,500;600,000;1037,874;278;7170,00;4,67%;36,00%;48,93%;0,82%;-0,5216;0,0003;11,1877;0,0148;56;0,1534
20/02/2026;GFGV79515A;7951,5;Put;801,000;-24,43%;130.092.999;16:56:50;1001,000;1001,000;760,000;1060,000;1501;7170,00;4,67%;36,00%;53,02%;0,27%;-0,5822;0,0003;10,9653;0,6429;56;0,1534
20/02/2026;GFGV82282A;8228,2;Put;980,000;-14,86%;855.250;16:19:22;1300,000;1300,000;980,000;1151,000;8;7170,00;4,67%;36,00%;53,55%;-1,09%;-0,6604;0,0003;10,2853;1,6298;56;0,1534
20/02/2026;GFGV85754A;8575,4;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;7170,00;4,67%;36,00%;;;-0,7462;0,0003;8,9952;2,9706;56;0,1534
20/02/2026;GFGV88515A;8851,5;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;7170,00;4,67%;36,00%;;;-0,8033;0,0002;7,7829;4,0449;56;0,1534
