FECHA;ESPECIE;BASE;TIPO;ÚLTIMO;%;MONTO;HORA;APE.;MAX.;MIN.;C. ANT.;NOMINAL;PRECIO GGAL;VAR. % GGAL;TLR;VI %;VE %;DÍAS AL VTO.;PLAZO (años)
21/02/2025;GFGC49783A;4978,3;Call;2607,750;0,30%;1.615.774;13:17:43;2711,270;2711,270;2607,750;2600,000;6;7150,00;-1,79%;28,50%;111,71%;6,10%;54;0,1479
21/02/2025;GFGC51783A;5178,3;Call;2346,259;-4,23%;4.961.241;16:57:37;2431,040;2431,040;2340,730;2450,000;21;7150,00;-1,79%;28,50%;91,40%;5,24%;54;0,1479
21/02/2025;GFGC53783A;5378,3;Call;2086,660;-0,64%;7.178.933;16:56:33;2250,000;2250,000;2020,000;2100,000;33;7150,00;-1,79%;28,50%;70,98%;4,41%;54;0,1479
21/02/2025;GFGC55783A;5578,3;Call;1900,000;-2,13%;15.688.777;14:45:18;2147,190;2147,190;1900,000;1941,353;75;7150,00;-1,79%;28,50%;65,96%;4,59%;54;0,1479
21/02/2025;GFGC57783A;5778,3;Call;1790,000;-3,09%;23.092.818;14:33:47;1876,610;1916,520;1790,000;1847,148;123;7150,00;-1,79%;28,50%;73,96%;5,85%;54;0,1479
21/02/2025;GFGC59783A;5978,3;Call;1500,000;-11,77%;629.000;16:27:20;1700,000;1700,000;1500,000;1700,000;4;7150,00;-1,79%;28,50%;51,02%;4,59%;54;0,1479
21/02/2025;GFGC61783A;6178,3;Call;1485,000;0,00%;445.500;14:18:36;1485,000;1485,000;1485,000;1485,000;3;7150,00;-1,79%;28,50%;71,13%;7,18%;54;0,1479
21/02/2025;GFGC63783A;6378,3;Call;1185,000;-2,30%;4.372.000;16:57:59;1480,000;1480,000;1185,000;1212,879;32;7150,00;-1,79%;28,50%;50,14%;5,78%;54;0,1479
21/02/2025;GFGC65783A;6578,3;Call;1035,000;-10,55%;3.125.966;16:50:28;1335,000;1335,000;1035,000;1157,125;27;7150,00;-1,79%;28,50%;49,08%;6,48%;54;0,1479
21/02/2025;GFGC67783A;6778,3;Call;940,000;-12,01%;25.221.840;16:54:42;1186,813;1269,989;940,000;1068,330;239;7150,00;-1,79%;28,50%;53,07%;7,95%;54;0,1479
21/02/2025;GFGC69783A;6978,3;Call;629,000;-33,03%;49.948.728;16:59:00;960,001;1099,000;629,000;939,180;566;7150,00;-1,79%;28,50%;33,22%;6,40%;54;0,1479
21/02/2025;GFGC71783A;7178,3;Call;700,000;-15,78%;216.377.774;16:59:27;880,000;940,000;690,000;831,111;2.820;7150,00;-1,79%;28,50%;51,71%;9,79%;54;0,1479
21/02/2025;GFGC73783A;7378,3;Call;601,000;-17,23%;230.985.937;16:59:49;840,000;840,000;600,000;726,067;3.317;7150,00;-1,79%;28,50%;51,59%;8,41%;54;0,1479
