FECHA;ESPECIE;BASE;TIPO;ÚLTIMO;%;MONTO;HORA;APE.;MAX.;MIN.;C. ANT.;NOMINAL;PRECIO GGAL;VAR. % GGAL;TLR;VI %;VE %;DÍAS AL VTO.;PLAZO (años)
20/12/2024;GFGC4050FE;4050;Call;3800,000;43,94%;3.800.000;15:12:11;3800,000;3800,000;3800,000;2639,990;10;7410,00;2,35%;35,02%;142,91%;5,94%;63;0,1726
20/12/2024;GFGC4200FE;4200;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;2280,000;0;7410,00;2,35%;35,02%;;;63;0,1726
20/12/2024;GFGC4400FE;4400;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;3119,594;0;7410,00;2,35%;35,02%;;;63;0,1726
20/12/2024;GFGC4600FE;4600;Call;2927,090;40,05%;7.334.383;12:59:00;2900,000;2977,260;2896,990;2090,000;25;7410,00;2,35%;35,02%;0,00%;1,58%;63;0,1726
20/12/2024;GFGC4800FE;4800;Call;2718,440;-15,05%;8.081.003;12:59:50;2356,210;2798,710;2296,410;3200,000;30;7410,00;2,35%;35,02%;0,00%;1,46%;63;0,1726
20/12/2024;GFGC5000FE;5000;Call;2700,000;8,00%;6.685.330;15:58:07;2359,270;2700,000;2165,000;2500,000;27;7410,00;2,35%;35,02%;0,00%;3,91%;63;0,1726
20/12/2024;GFGC5200FE;5200;Call;2391,430;-0,26%;4.324.312;13:15:39;2120,510;2391,430;2050,280;2397,624;20;7410,00;2,35%;35,02%;0,00%;2,45%;63;0,1726
20/12/2024;GFGC5400FE;5400;Call;2162,710;-1,70%;6.220.227;12:37:53;2052,330;2162,710;1931,930;2200,000;31;7410,00;2,35%;35,02%;0,00%;2,06%;63;0,1726
20/12/2024;GFGC5600FE;5600;Call;1723,270;-14,24%;3.703.155;11:56:08;1763,410;1853,710;1723,270;2009,435;21;7410,00;2,35%;35,02%;0,00%;-1,17%;63;0,1726
20/12/2024;GFGC5800FE;5800;Call;1890,000;0,99%;189.000;13:56:03;1890,000;1890,000;1890,000;1871,470;1;7410,00;2,35%;35,02%;0,00%;3,78%;63;0,1726
20/12/2024;GFGC6000FE;6000;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;1600,000;0;7410,00;2,35%;35,02%;;;63;0,1726
20/12/2024;GFGC6200FE;6200;Call;1625,620;13,88%;6.793.106;16:57:15;1300,000;1650,000;1190,000;1427,500;46;7410,00;2,35%;35,02%;43,58%;5,61%;63;0,1726
20/12/2024;GFGC6400FE;6400;Call;1400,000;6,29%;6.398.440;14:00:57;1100,000;1400,000;1050,000;1317,100;53;7410,00;2,35%;35,02%;29,21%;5,26%;63;0,1726
20/12/2024;GFGC6600FE;6600;Call;1289,990;16,32%;21.194.795;16:55:04;1015,000;1289,990;922,000;1109,048;200;7410,00;2,35%;35,02%;41,45%;6,48%;63;0,1726
20/12/2024;GFGC6800FE;6800;Call;1120,000;1,82%;28.429.073;16:56:25;900,000;1129,990;800,000;1100,000;290;7410,00;2,35%;35,02%;39,00%;6,88%;63;0,1726
20/12/2024;GFGC7000FE;7000;Call;1000,000;16,99%;360.254.839;16:59:41;830,000;1027,800;670,000;854,789;4.278;7410,00;2,35%;35,02%;41,71%;7,96%;63;0,1726
20/12/2024;GFGC7200FE;7200;Call;883,130;20,72%;189.166.154;16:57:41;620,000;883,130;570,000;731,529;2.459;7410,00;2,35%;35,02%;43,06%;9,08%;63;0,1726
20/12/2024;GFGC7400FE;7400;Call;755,001;17,81%;325.833.742;16:59:35;490,000;770,000;480,050;640,886;4885;7410,00;2,35%;35,02%;42,21%;10,05%;63;0,1726
20/12/2024;GFGC7600FE;7600;Call;665,000;23,63%;528.496.956;16:59:20;520,000;665,000;411,920;537,880;9.422;7410,00;2,35%;35,02%;43,75%;8,97%;63;0,1726
20/12/2024;GFGC7800FE;7800;Call;569,000;19,40%;168.697.278;16:59:55;378,000;575,000;347,800;476,565;3.349;7410,00;2,35%;35,02%;43,79%;7,68%;63;0,1726
20/12/2024;GFGC8000FE;8000;Call;490,000;22,71%;486.988.761;16:59:06;329,000;490,000;293,390;399,327;11.470;7410,00;2,35%;35,02%;44,34%;6,61%;63;0,1726
20/12/2024;GFGC8300FE;8300;Call;388,000;26,21%;248.864.295;16:59:28;257,000;397,000;224,930;307,429;7579;7410,00;2,35%;35,02%;45,01%;5,24%;63;0,1726
20/12/2024;GFGC8600FE;8600;Call;294,000;23,72%;670.217.351;16:59:59;190,001;304,200;170,000;237,635;27.635;7410,00;2,35%;35,02%;44,66%;3,97%;63;0,1726
20/12/2024;GFGC8900FE;8900;Call;220,001;23,79%;63.699.895;16:59:11;166,000;230,000;125,000;177,718;3274;7410,00;2,35%;35,02%;44,45%;2,97%;63;0,1726
20/12/2024;GFGC9200FE;9200;Call;168,000;24,24%;22.094.243;16:59:41;148,000;179,000;90,000;135,224;1.522;7410,00;2,35%;35,02%;44,89%;2,27%;63;0,1726
20/12/2024;GFGC9500FE;9500;Call;117,646;21,50%;11.573.254;16:58:03;121,000;132,000;77,000;96,828;1.043;7410,00;2,35%;35,02%;44,07%;1,59%;63;0,1726
20/12/2024;GFGC9800FE;9800;Call;93,499;32,80%;18.014.101;16:56:27;95,000;99,000;55,000;70,404;2.266;7410,00;2,35%;35,02%;45,28%;1,26%;63;0,1726
20/12/2024;GFGC10100F;10100;Call;68,000;32,15%;7.348.913;16:59:19;50,000;75,000;41,001;51,455;1230;7410,00;2,35%;35,02%;45,29%;0,92%;63;0,1726
20/12/2024;GFGV4050FE;4050;Put;1,050;5,00%;107.562;16:59:04;1,000;1,400;0,750;1,000;1.031;7410,00;2,35%;35,02%;57,70%;0,01%;63;0,1726
