FECHA;ESPECIE;BASE;TIPO;ÚLTIMO;%;MONTO;HORA;APE.;MAX.;MIN.;C. ANT.;NOMINAL;PRECIO GGAL;VAR. % GGAL;TLR;VI %;VE %;DÍAS AL VTO.;PLAZO (años)
20/10/2023;GFGC38304D;383,04;Call;837,000;-1,53%;2.268.700;16:20:30;850,000;850,000;825,001;850,000;27;1156,25;2,57%;115,00%;150,57%;5,52%;56;0,1534
20/10/2023;GFGC460.DI;460;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGC49152D;491,52;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;800,000;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGC540.DI;540;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGC69152D;691,52;Call;600,000;0,09%;60.000;13:06:29;600,000;600,000;600,000;599,463;1;1156,25;2,57%;115,00%;143,00%;11,70%;56;0,1534
20/10/2023;GFGC72304D;723,04;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;630,000;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGC74456D;744,56;Call;578,530;0,00%;113.853;16:19:42;560,000;578,530;560,000;0,000;2;1156,25;2,57%;115,00%;162,63%;14,43%;56;0,1534
20/10/2023;GFGC77456D;774,56;Call;530,000;0,95%;317.000;16:58:41;525,000;535,000;525,000;525,000;6;1156,25;2,57%;115,00%;122,93%;12,83%;56;0,1534
20/10/2023;GFGC80456D;804,56;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;418,911;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGC90152D;901,52;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;440,000;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGC94152D;941,52;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;379,775;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGC990.DI;990;Call;400,000;4,23%;2.539.860;15:30:41;380,000;410,680;370,000;383,779;64;1156,25;2,57%;115,00%;128,05%;20,22%;56;0,1534
20/10/2023;GFGC1033DI;1033;Call;372,688;10,26%;18.669.129;16:58:54;390,000;390,000;305,000;338,000;520;1156,25;2,57%;115,00%;124,82%;21,57%;56;0,1534
20/10/2023;GFGC10915D;1091,5;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;310,000;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGC1150DI;1150;Call;301,222;7,72%;15.054.124;16:59:20;250,000;330,000;250,000;279,625;503;1156,25;2,57%;115,00%;115,88%;25,51%;56;0,1534
20/10/2023;GFGC11915D;1191,5;Call;278,516;3,15%;33.851.857;16:56:44;210,000;290,000;210,000;270,000;1.227;1156,25;2,57%;115,00%;113,65%;24,09%;56;0,1534
20/10/2023;GFGC1250DI;1250;Call;253,500;-13,41%;6.590.794;16:58:59;260,000;260,000;210,000;292,760;262;1156,25;2,57%;115,00%;113,97%;21,92%;56;0,1534
20/10/2023;GFGC12915D;1291,5;Call;226,619;4,01%;24.914.270;16:59:24;220,000;240,000;202,000;217,885;1.080;1156,25;2,57%;115,00%;108,03%;19,60%;56;0,1534
20/10/2023;GFGC1350DI;1350;Call;200,683;5,05%;8.411.091;16:55:45;200,000;210,000;196,100;191,031;413;1156,25;2,57%;115,00%;106,00%;17,36%;56;0,1534
20/10/2023;GFGC13915D;1391,5;Call;184,017;1,02%;29.112.077;16:59:34;197,000;205,281;171,000;182,167;1.539;1156,25;2,57%;115,00%;104,92%;15,91%;56;0,1534
20/10/2023;GFGC1450DI;1450;Call;160,000;4,76%;6.418.366;16:58:36;175,000;175,000;160,000;152,735;381;1156,25;2,57%;115,00%;102,22%;13,84%;56;0,1534
20/10/2023;GFGC14915D;1491,5;Call;144,976;0,32%;52.480.584;16:59:49;175,000;175,000;140,000;144,510;3.506;1156,25;2,57%;115,00%;100,83%;12,54%;56;0,1534
20/10/2023;GFGC1570DI;1570;Call;118,354;-33,88%;3.708.639;16:56:23;130,000;137,000;110,000;179,000;299;1156,25;2,57%;115,00%;97,81%;10,24%;56;0,1534
20/10/2023;GFGC1640DI;1640;Call;105,067;1,27%;8.287.447;16:59:49;122,000;123,000;100,000;103,747;741;1156,25;2,57%;115,00%;99,57%;9,09%;56;0,1534
20/10/2023;GFGC17715D;1771,5;Call;84,000;1,44%;956.021;16:59:59;102,247;109,574;66,077;82,804;114;1156,25;2,57%;115,00%;102,19%;7,26%;56;0,1534
20/10/2023;GFGC18515D;1851,5;Call;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;100,000;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGC19315D;1931,5;Call;56,309;7,61%;22.004.162;16:59:52;56,000;65,000;50,200;52,325;3.798;1156,25;2,57%;115,00%;99,34%;4,87%;56;0,1534
20/10/2023;GFGC2020DI;2020;Call;41,878;17,78%;943.915;16:59:39;38,500;49,998;30,002;35,556;228;1156,25;2,57%;115,00%;95,78%;3,62%;56;0,1534
20/10/2023;GFGC20915D;2091,5;Call;33,941;17,81%;5.918.269;16:59:57;30,000;40,000;30,000;28,809;1.756;1156,25;2,57%;115,00%;94,40%;2,94%;56;0,1534
20/10/2023;GFGV38304D;383,04;Put;0,800;716,33%;46.235;16:46:22;0,080;0,800;0,080;0,098;827;1156,25;2,57%;115,00%;135,11%;0,07%;56;0,1534
20/10/2023;GFGV460.DI;460;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGV49152D;491,52;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGV540.DI;540;Put;2,143;264,46%;176.033;16:55:53;0,720;3,500;0,720;0,588;968;1156,25;2,57%;115,00%;114,77%;0,19%;56;0,1534
20/10/2023;GFGV69152D;691,52;Put;6,706;796,52%;52.095;16:42:08;1,100;7,000;1,100;0,748;88;1156,25;2,57%;115,00%;106,05%;0,58%;56;0,1534
20/10/2023;GFGV72304D;723,04;Put;0,770;61,43%;154;12:34:57;0,670;0,870;0,670;0,477;2;1156,25;2,57%;115,00%;70,75%;0,07%;56;0,1534
20/10/2023;GFGV74456D;744,56;Put;1,000;41,84%;100;12:35:09;1,000;1,000;1,000;0,705;1;1156,25;2,57%;115,00%;70,17%;0,09%;56;0,1534
20/10/2023;GFGV77456D;774,56;Put;16,624;1334,34%;651.391;16:59:07;10,000;17,000;8,002;1,159;535;1156,25;2,57%;115,00%;112,28%;1,44%;56;0,1534
20/10/2023;GFGV80456D;804,56;Put;22,333;-8,92%;2.946.794;16:59:53;29,900;31,000;18,500;24,521;1.303;1156,25;2,57%;115,00%;115,38%;1,93%;56;0,1534
20/10/2023;GFGV90152D;901,52;Put;41,799;-8,69%;1.365.742;16:55:57;46,334;46,334;33,002;45,775;338;1156,25;2,57%;115,00%;118,72%;3,62%;56;0,1534
20/10/2023;GFGV94152D;941,52;Put;53,483;-0,40%;1.810.636;16:59:19;40,001;60,000;40,001;53,697;368;1156,25;2,57%;115,00%;121,47%;4,63%;56;0,1534
20/10/2023;GFGV990.DI;990;Put;67,420;-1,45%;9.082.809;16:59:40;69,000;72,000;60,000;68,409;1.388;1156,25;2,57%;115,00%;122,81%;5,83%;56;0,1534
20/10/2023;GFGV1033DI;1033;Put;81,596;-1,45%;18.465.551;16:58:12;99,990;100,000;72,000;82,800;2.242;1156,25;2,57%;115,00%;124,23%;7,06%;56;0,1534
20/10/2023;GFGV10915D;1091,5;Put;102,674;-4,20%;5.656.391;16:59:38;105,000;119,000;90,000;107,180;557;1156,25;2,57%;115,00%;125,83%;8,88%;56;0,1534
20/10/2023;GFGV1150DI;1150;Put;132,710;2,78%;12.593.625;16:59:17;128,000;144,000;113,000;129,122;981;1156,25;2,57%;115,00%;131,79%;11,48%;56;0,1534
20/10/2023;GFGV11915D;1191,5;Put;136,000;0,00%;490.440;16:13:38;56,000;150,000;56,000;0,000;37;1156,25;2,57%;115,00%;123,27%;8,71%;56;0,1534
20/10/2023;GFGV1250DI;1250;Put;85,000;0,00%;8.500;16:40:36;85,000;85,000;85,000;0,000;1;1156,25;2,57%;115,00%;77,12%;-0,76%;56;0,1534
20/10/2023;GFGV12915D;1291,5;Put;205,000;2,50%;3.649.803;16:50:02;200,000;225,000;180,000;200,000;181;1156,25;2,57%;115,00%;138,97%;6,03%;56;0,1534
20/10/2023;GFGV1350DI;1350;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGV13915D;1391,5;Put;250,099;-16,63%;504.219;16:59:37;250,000;275,000;240,000;300,000;20;1156,25;2,57%;115,00%;136,61%;1,28%;56;0,1534
20/10/2023;GFGV1450DI;1450;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGV14915D;1491,5;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGV1570DI;1570;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;88,601;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGV1640DI;1640;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGV17715D;1771,5;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGV18515D;1851,5;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGV19315D;1931,5;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGV2020DI;2020;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1156,25;2,57%;115,00%;;;56;0,1534
20/10/2023;GFGV20915D;2091,5;Put;0,000;0,00%;0;0:00:00;0,000;0,000;0,000;0,000;0;1156,25;2,57%;115,00%;;;56;0,1534
